0.4.9
https://raw.githubusercontent.com/pyload/pyload/%(changeset)s/module/plugins/%(type)s/%(name)s
type|name|changeset|version
hoster|UploadedTo.py|48a1580|1.07
hoster|UploadgigCom.py|48a1580|0.04
hoster|UploadhereCom.py|48a1580|0.17
hoster|UploadheroCom.py|48a1580|0.23
hoster|UploadingCom.py|48a1580|0.51
hoster|UploadkingCom.py|48a1580|0.19
hoster|UploadrocketNet.py|48a1580|0.02
hoster|UpstoreNet.py|48a1580|0.13
hoster|UptoboxCom.py|48a1580|0.31
hoster|UserscloudCom.py|48a1580|0.09
hoster|VeehdCom.py|48a1580|0.29
hoster|VeohCom.py|48a1580|0.28
hoster|VidPlayNet.py|48a1580|0.11
hoster|VimeoCom.py|48a1580|0.12
hoster|Vipleech4UCom.py|48a1580|0.25
hoster|VkCom.py|48a1580|0.06
hoster|WarserverCz.py|48a1580|0.18
hoster|WebshareCz.py|48a1580|0.25
hoster|WrzucTo.py|48a1580|0.09
hoster|WuploadCom.py|48a1580|0.28
hoster|X7To.py|48a1580|0.46
hoster|XDCC.py|48a1580|0.43
hoster|XFileSharing.py|48a1580|0.65
hoster|XHamsterCom.py|48a1580|0.19
hoster|XVideosCom.py|48a1580|0.16
hoster|XdadevelopersCom.py|48a1580|0.08
hoster|YadiSk.py|48a1580|0.11
hoster|YesPornPleaseCom.py|48a1580|0.02
hoster|YibaishiwuCom.py|48a1580|0.19
hoster|YoupornCom.py|48a1580|0.26
hoster|YourfilesTo.py|48a1580|0.28
hoster|YoutubeCom.py|48a1580|0.61
hoster|ZDF.py|48a1580|0.89
hoster|ZShareNet.py|48a1580|0.26
hoster|ZahikiNet.py|48a1580|0.07
hoster|ZbigzCom.py|48a1580|0.03
hoster|ZeveraCom.py|48a1580|0.38
hoster|ZippyshareCom.py|48a1580|0.94
internal|Account.py|48a1580|0.83
internal|Addon.py|48a1580|0.55
internal|Base.py|48a1580|0.33
internal|Captcha.py|48a1580|0.55
internal|CaptchaService.py|48a1580|0.36
internal|Container.py|48a1580|0.13
internal|Crypter.py|48a1580|0.20
internal|DeadCrypter.py|48a1580|0.14
internal|DeadHoster.py|48a1580|0.24
internal|Extractor.py|48a1580|0.48
internal|Hoster.py|48a1580|0.69
internal|MultiAccount.py|48a1580|0.21
internal|MultiCrypter.py|48a1580|0.10
internal|MultiHoster.py|48a1580|0.67
internal|Notifier.py|48a1580|0.11
internal|OCR.py|48a1580|0.26
internal|Plugin.py|48a1580|0.73
internal|SevenZip.py|48a1580|0.27
internal|SimpleCrypter.py|48a1580|0.93
internal|SimpleHoster.py|48a1580|2.27
internal|UnRar.py|48a1580|1.38
internal|UnTar.py|48a1580|0.04
internal|UnZip.py|48a1580|1.24
internal|XFSAccount.py|48a1580|0.59
internal|XFSCrypter.py|48a1580|0.26
internal|XFSHoster.py|48a1580|0.80
internal|misc.py|48a1580|0.48
BLACKLIST
accounts|BayfilesCom.py
accounts|BillionuploadsCom.py
accounts|BitshareCom.py
accounts|CyberlockerCh.py
accounts|DdlstorageCom.py
accounts|EgoFilesCom.py
accounts|File4safeCom.py
accounts|FileParadoxIn.py
accounts|FreeWayMe.py
accounts|HotfileCom.py
accounts|Keep2shareCc.py
accounts|LetitbitNet.py
accounts|LinestorageCom.py
accounts|LomafileCom.py
accounts|MegaDebrid.py
accounts|MultiDebridCom.py
